id,type,difficulty,category,question,correct_answer
1,boolean,easy,General Knowledge,The Great Wall of China is visible from the moon.,FALSE
2,boolean,easy,General Knowledge,Jingle Bells was originally meant for Thanksgiving,TRUE
3,boolean,easy,General Knowledge,Nutella is produced by the German company Ferrero.,FALSE
4,boolean,medium,General Knowledge,"The bikini is named after the Bikini Atoll, an island where the United States conducted tests on atomic bombs.",TRUE
5,boolean,easy,General Knowledge,French is an official language in Canada.,TRUE
6,boolean,hard,General Knowledge,"In Scandinavian languages, the letter  means river.",TRUE
7,boolean,hard,General Knowledge,This is the correct spelling of Supercalifragilisticexpialidocious.,TRUE
8,boolean,easy,General Knowledge,The mitochondria is the powerhouse of the cell.,TRUE
9,boolean,easy,General Knowledge,The Lego Group was founded in 1932.,TRUE
10,boolean,medium,General Knowledge,Typewriter is the longest word that can be typed using only the first row on a QWERTY keyboard.,TRUE
11,boolean,medium,General Knowledge,The term Spam came before the food product Spam.,FALSE
12,boolean,easy,General Knowledge,Video streaming website YouTube was purchased in its entirety by Facebook for US$1.65 billion in stock.,FALSE
13,boolean,medium,General Knowledge,Popcorn was invented in 1871 by Frederick W. Rueckheim in the USA where he sold the snack on the streets of Chicago.,FALSE
14,boolean,hard,General Knowledge,Stagecoach owned South West Trains before losing the rights to FirstGroup and MTR in March of 2017.,TRUE
15,boolean,easy,General Knowledge,"On average, at least 1 person is killed by a drunk driver in the United States every hour.",TRUE
16,boolean,medium,General Knowledge,Kissing someone for one minute burns about 2 calories.,TRUE
17,boolean,medium,General Knowledge,Santa Claus is a variety of melon.,TRUE
18,boolean,easy,General Knowledge,You can legally drink alcohol while driving in Mississippi.,TRUE
19,boolean,medium,General Knowledge,The scientific name for the Southern Lights is Aurora Australis?,TRUE
20,boolean,medium,General Knowledge,Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo. is a grammatically correct sentence.,TRUE
21,boolean,medium,General Knowledge,Fast food restaurant chains Carls Jr. and Hardees are owned by the same company.,TRUE
22,boolean,easy,General Knowledge,Ananas is mostly used as the word for Pineapple in other languages.,TRUE
23,boolean,medium,General Knowledge,The vapor produced by e-cigarettes is actually water.,FALSE
24,boolean,easy,General Knowledge,Dihydrogen Monoxide was banned due to health risks after being discovered in 1983 inside swimming pools and drinking water.,FALSE
25,boolean,easy,General Knowledge,It is automatically considered entrapment in the United States if the police sell you illegal substances without revealing themselves.,FALSE
26,boolean,hard,General Knowledge,Number 16 Bus Shelter was a childs name that was approved by the New Zealand government.,TRUE
27,boolean,easy,General Knowledge,The color orange is named after the fruit.,TRUE
28,boolean,easy,General Knowledge,A scientific study on peanuts in bars found traces of over 100 unique specimens of urine.,FALSE
29,boolean,medium,General Knowledge,"The word news originates from the first letters of the 4 main directions on a compass (North, East, West, South).",FALSE
30,boolean,medium,General Knowledge,Sitting for more than three hours a day can cut two years off a persons life expectancy.,TRUE
31,boolean,easy,General Knowledge,"When you cry in space, your tears stick to your face.",TRUE
32,boolean,medium,General Knowledge,The British organisation CAMRA stands for The Campaign for Real Ale.,TRUE
33,boolean,medium,General Knowledge,Cucumbers are usually more than 90% water.,TRUE
34,boolean,medium,General Knowledge,The average woman is 5 inches / 13 centimeters shorter than the average man.,TRUE
35,boolean,medium,General Knowledge,There are 86400 seconds in a day.,TRUE
36,boolean,medium,General Knowledge,Haggis is traditionally ate on Burns Night.,TRUE
37,boolean,easy,General Knowledge,"Romanian belongs to the Romance language family, shared with French, Spanish, Portuguese and Italian. ",TRUE
38,boolean,medium,General Knowledge,The French word for glass is glace.,FALSE
39,boolean,medium,General Knowledge,The US emergency hotline is 911 because of the September 11th terrorist attacks.,FALSE
40,boolean,medium,General Knowledge,Francis Bacon died from a fatal case of pneumonia while he was attempting to preserve meat by stuffing a chicken with snow.,TRUE
41,boolean,easy,General Knowledge,The Sun rises from the North.,FALSE
42,boolean,easy,General Knowledge,"In 2010, Twitter and the United States Library of Congress partnered together to archive every tweet by American citizens.",TRUE
43,boolean,hard,General Knowledge,NCIS stands for Navy Corps Investigative Service,FALSE
44,boolean,easy,General Knowledge,"27 Club is a term used to refer to a list of famous actors, musicians, and artists who died at the age of 27.",TRUE
45,boolean,easy,General Knowledge,Bulls are attracted to the color red.,FALSE
46,boolean,medium,General Knowledge,Instant mashed potatoes were invented by Canadian Edward Asselbergs in 1962.,TRUE
47,boolean,medium,General Knowledge,The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,FALSE
48,boolean,easy,General Knowledge,Adolf Hitler was born in Australia. ,FALSE
49,boolean,easy,General Knowledge,The National Animal of Scotland is the Unicorn.,TRUE
50,boolean,medium,General Knowledge,The French word to travel is Travail,FALSE
51,boolean,hard,Entertainment: Books,"In Harry Potter and the Deathly Hallows, Hermione destroyed the fourth Horcrux by stabbing it with the Sword of Gryffindor.",FALSE
52,boolean,hard,Entertainment: Books,"Harry Potter was born on July 31st, 1980.",TRUE
53,boolean,easy,Entertainment: Books,The Berenstein Bears is the correct spelling of the educational childrens book series name.,FALSE
